school_number,school_name,instruction_type,charter_type,school_street_address,school_city,school_state,school_zip,school_site_street_address,school_site_city,school_site_state,school_site_zip,school_phone,school_fax,school_email_address,school_web_page_address,school_principal,grade_range,enrollment_as_of_oct_2012,school_status,school_status_date,update_date
'221912101,WYLIE EL,REGULAR INSTRUCTIONAL,,7650 HARDWICK RD,ABILENE,TX,79606,7650 HARDWICK RD,ABILENE,TX,79606,(325) 692-6554 ext:1401,(325) 695-4645,dlambert@wylie.esc14.net,,MRS DEBBIE LAMBERT   ,'01 02,594,Active,9/1/74,7/24/13 5:35
'004901103,LIVE OAK 1-3 LEARNING CENTER,REGULAR INSTRUCTIONAL,,P O BOX 907,ROCKPORT,TX,78381-0907,21 GRIFFITH DR,ROCKPORT,TX,78382-0907,(361) 790-2260,(361) 790-2207,rrice@acisd.org,www.acisd.org,MRS ROBIN RICE   ,'01-03,739,Active, ,7/24/13 5:34
'062901102,HUNT EL,REGULAR INSTRUCTIONAL,,805 N HUNT,CUERO,TX,77954,805 N HUNT,CUERO,TX,77954,(361) 275-1900 ext:5   ,(361) 275-3474,bcerny@cueroisd.org,www.cueroisd.org,MRS BRIDGETTE CERNY   ,'01-03,418,Active,4/26/06,7/24/13 5:34
'070903101,AUSTIN EL,REGULAR INSTRUCTIONAL,,1500 AUSTIN DR,ENNIS,TX,75119-7599,1500 AUSTIN DR,ENNIS,TX,75119-7599,(972) 872-7190,(972) 875-7216,denise.winnett@ennis.k12.tx.us,www.ennis.k12.tx.us/,MRS DENISE WINNETT   ,'01-03,342,Active, ,7/24/13 5:34
'070903102,HOUSTON EL,REGULAR INSTRUCTIONAL,,1701 S HALL ST,ENNIS,TX,75119-6524,1701 S HALL ST,ENNIS,TX,75119-6524,(972) 872-7285,(972) 875-4816,Linda.southard@ennis.k12.tx.us,www.ennis.k12.tx.us/,MS LINDA SOUTHARD   ,'01-03,257,Active, ,7/24/13 5:34
'070903103,BOWIE EL,REGULAR INSTRUCTIONAL,,501 JETER DR,ENNIS,TX,75119-2698,501 JETER DR,ENNIS,TX,75119-2698,(972) 872-7234,(972) 875-3407,chad.corbett@ennis.k12.tx.us,www.ennis.k12.tx.us/,CHAD CORBETT   ,'01-03,375,Active,8/4/87,7/24/13 5:34
'070903104,TRAVIS EL,REGULAR INSTRUCTIONAL,,200 N SHAWNEE,ENNIS,TX,75119-4157,200 N SHAWNEE,ENNIS,TX,75119-4157,(972) 872-7455,(972) 875-4205,Ryan.McCabe@ennis.k12.tx.us,www.ennis.k12.tx.us/,MR RYAN ALLEN MCCABE   ,'01-03,293,Active, ,7/24/13 5:34
'070905105,LUCY MAE MCDONALD EL,REGULAR INSTRUCTIONAL,,P O BOX 403,FERRIS,TX,75125-9112,500 FM 983,FERRIS,TX,75125-9112,(972) 544-2574,(972) 544-2116,mdlaudan@ferrisisd.org,,MRS MARLA LAUDAN   ,'01-03,510,Active,10/24/01,7/24/13 5:34
'100907101,LUMBERTON PRI,REGULAR INSTRUCTIONAL,,121 S MAIN,LUMBERTON,TX,77657,128 E CANDLESTICK DR,LUMBERTON,TX,77657,(409) 923-7490,(409) 923-7444,kwaldrop@lumberton.k12.tx.us,,MRS KATHRINE WALDROP   ,'01-03,900,Active, ,7/24/13 5:34
'101902101,ANDERSON ACADEMY,REGULAR INSTRUCTIONAL,,7401 WHEATLEY ST,HOUSTON,TX,77088-7845,7401 WHEATLEY ST,HOUSTON,TX,77088-7845,(281) 878-0370,(281) 591-8549,jjohnson02@aldine.k12.tx.us,www.aldine.K12.tx.us,JULIE JOHNSON   ,'01-03,651,Active, ,7/24/13 5:34
'110902104,CAPITOL EL,REGULAR INSTRUCTIONAL,,704 11TH ST,LEVELLAND,TX,79336,401 ELLIS ST,LEVELLAND,TX,79336,(806) 894-4715,(806) 894-9860,salexander@esc17.net,www.levellandisd.net,MR KARL RACE   ,'01-03,324,Active,7/20/10,7/24/13 5:35
'110902105,SOUTH EL,REGULAR INSTRUCTIONAL,,704 11TH ST,LEVELLAND,TX,79336-5424,1500 AVE C,LEVELLAND,TX,79336-6157,(806) 894-6255,(806) 894-1283,salexander@esc17.net,www.levellandisd.net/,MS RAEMI THOMPSON   ,'01-03,335,Active, ,7/24/13 5:35
'161906105,LA VEGA EL,REGULAR INSTRUCTIONAL,,3100 WHEELER ST,WACO,TX,76705-2599,3100 WHEELER ST,WACO,TX,76705-2599,(254) 799-1721,(254) 799-4453,Shaunte.Stewart@lavegaisd.org,,MS SHAUNTE STEWART   ,'01-03,709,Active, ,7/24/13 5:35
'179901102,JAMES L WRIGHT EL,REGULAR INSTRUCTIONAL,,P O BOX 1048,PERRYTON,TX,79070-1048,1702 S GRINNELL ST,PERRYTON,TX,79070-1048,(806) 435-2371,(806) 434-8844,dgentry@perrytonisd.com,www.perrytonisd.com,MR DANNY GENTRY   ,'01-03,604,Active, ,7/24/13 5:35
'195901106,AUSTIN EL,REGULAR INSTRUCTIONAL,,P O BOX 869,PECOS,TX,79772-0869,1501 NORMANDY,PECOS,TX,79772-6738,(432) 447-7541,(432) 447-4248,jworkman@pbtisd.esc18.net,pbtisd.esc18.net,MR JIM WORKMAN   ,'01-03,531,Active, ,7/24/13 5:35
'201902109,WILLIAM E WYLIE EL,REGULAR INSTRUCTIONAL,,P O BOX 728,HENDERSON,TX,75653,1735 HWY 259 S,HENDERSON,TX,75654,(903) 655-5200 ext:4206,(903) 655-5299,cfreeman@hendersonisd.org,hendersonisd.org,MR CLAY FREEMAN   ,'01-03,822,Active,8/24/09,7/24/13 5:35
'210901101,CENTER EL,REGULAR INSTRUCTIONAL,,621 ROUGHRIDER DR,CENTER,TX,75935-3894,621 ROUGHRIDER DR,CENTER,TX,75935-3894,(936) 598-3625,(936) 598-1507,Tammy.Lemoine@centerisd.org,,MS TAMMY LEMOINE   ,'01-03,627,Active, ,7/24/13 5:35
'212903101,COLLEGE STREET EL,REGULAR INSTRUCTIONAL,,P O BOX 370,LINDALE,TX,75771-0370,106 N COLLEGE ST,LINDALE,TX,75771-3233,(903) 882-3121,(903) 882-2844,surrattsm@lind.sprnet.org,,MRS JODIE ALBRITTON   ,'01-03,420,Active, ,7/24/13 5:35
'212903102,VELMA PENNY EL,REGULAR INSTRUCTIONAL,,P O BOX 370,LINDALE,TX,75771-0370,1000 MOUNT SYLVAN ST,LINDALE,TX,75771-6297,(903) 882-7513,(903) 882-2830,surrattsm@lind.sprnet.org,,MRS MONICA MOORE   ,'01-03,396,Active,8/23/76,7/24/13 5:35
'238902108,TATOM EL,REGULAR INSTRUCTIONAL,,1600 S CALVIN AVE,MONAHANS,TX,79756-6118,1600 S CALVIN AVE,MONAHANS,TX,79756-6118,(432) 943-2769,(432) 943-3952,jsteen@mwpisd.esc18.net,www.mwpisd.esc18.net,MRS JILL STEEN   ,'01-03,528,Active, ,7/24/13 5:35
'246911103,NAOMI PASEMANN EL,REGULAR INSTRUCTIONAL,,2809 N DR,TAYLOR,TX,76574-2998,2809 N DR,TAYLOR,TX,76574-2998,(512) 365-2278,(512) 365-2280,jhp@taylorisd.org,www.taylorisd.org,MRS JENNIFER PATSCHKE   ,'01-03,696,Active,4/30/96,7/24/13 5:35
'252901101,CRESTVIEW EL,REGULAR INSTRUCTIONAL,,1317 OLD JACKSBORO RD,GRAHAM,TX,76450-2836,1317 OLD JACKSBORO RD,GRAHAM,TX,76450-2836,(940) 549-6023,(940) 549-6025,harper.stewart@grahamisd.com,www.grahamisd.com,MR HARPER STEWART   ,'01-03,576,Active, ,7/24/13 5:35
'015909101,SOMERSET EL,REGULAR INSTRUCTIONAL,,P O BOX 279,SOMERSET,TX,78069-0279,7840 6TH ST,SOMERSET,TX,78069-0279,(866) 852-9864 ext:6414,(866) 667-2602,jessica.land@sisdk12.net,www.sisdtx.sharpschool.com,JESSICA LAND   ,'01-04,702,Active, ,7/24/13 5:34
'084904114,LA MARQUE EL MATH AND SCIENCE ACADEMY,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568,1431 BAYOU RD,LA MARQUE,TX,77568, , ,mbrooks@lmisd.net,,    ,'01-04,0,Under Construction,1/30/13,7/24/13 5:34
'101902134,JONES EL,REGULAR INSTRUCTIONAL,,7903 FOREST POINT DR,HUMBLE,TX,77338,7903 FOREST POINT DR,HUMBLE,TX,77338,(281) 446-6168,(281) 985-6022,cfontenot@aldine.k12.tx.us,,CHERYL J FONTENOT   ,'01-04,1052,Active,8/18/08,7/24/13 5:35
'108903102,SANTIAGO GARCIA EL,REGULAR INSTRUCTIONAL,,P O BOX 127,EDCOUCH,TX,78538-0127,101 E SANTA ROSA AVE,EDCOUCH,TX,78538,(956) 262-6002,(956) 262-6004,asabedra@eeisd.org,,MR ADAM SABEDRA   ,'01-04,408,Active, ,7/24/13 5:35
'108903103,KENNEDY EL,REGULAR INSTRUCTIONAL,,P O BOX 127,EDCOUCH,TX,78538-0127,500 W 9TH ST,ELSA,TX,78543,(956) 262-6027,(956) 262-6029,nhernandez@eeisd.org,,MRS NOEMI HERNANDEZ   ,'01-04,403,Active, ,7/24/13 5:35
'108903104,RUBEN C RODRIGUEZ ELEMENTARY,REGULAR INSTRUCTIONAL,,P O BOX 127,EDCOUCH,TX,78538-0127,920 SANTA ROSA,EDCOUCH,TX,78538,(956) 262-6062,(956) 262-6061,marygarza@eeisd.org,,MARY GARZA   ,'01-04,374,Active, ,7/24/13 5:35
'108903105,L B J EL,REGULAR INSTRUCTIONAL,,P O BOX 127,EDCOUCH,TX,78538-0127,200 S FANNIN ST,ELSA,TX,78543,(956) 262-6010,(956) 262-6012,magonzales@eeisd.org,,MRS MARY GONZALES   ,'01-04,413,Active,6/13/89,7/24/13 5:35
'112901104,LAMAR EL,REGULAR INSTRUCTIONAL,,631 CONNALLY ST,SULPHUR SPRINGS,TX,75482,825 CHURCH ST,SULPHUR SPRINGS,TX,75482,(903) 885-4550,(903) 439-6144,,,ROWENA JOHNSON   ,'01-04,215,Active, ,7/24/13 5:35
'112901105,TRAVIS EL,REGULAR INSTRUCTIONAL,,631 CONNALLY ST,SULPHUR SPRINGS,TX,75482,130 GARRISON ST,SULPHUR SPRINGS,TX,75482,(903) 885-5246,(903) 438-2251,,,KRISTIN MONK   ,'01-04,201,Active, ,7/24/13 5:35
'112901106,BOWIE EL,REGULAR INSTRUCTIONAL,,631 CONNALLY ST,SULPHUR SPRINGS,TX,75482,1400 MOCKINGBIRD LN,SULPHUR SPRINGS,TX,75482,(903) 885-3772,(903) 885-5754,,,CAROL WORSHAM   ,'01-04,195,Active, ,7/24/13 5:35
'155901102,JEFFERSON EL,REGULAR INSTRUCTIONAL,,301 W HARRISON,JEFFERSON,TX,75657,301 W HARRISON,JEFFERSON,TX,75657,(903) 665-2461 ext:4   ,(903) 665-6401,rmwhatley@jeffersonisd.org,,ANTHONY MCGILL   ,'01-04,354,Active, ,7/24/13 5:35
'232903101,BENSON EL,REGULAR INSTRUCTIONAL,,P O BOX 1909,UVALDE,TX,78802-1909,601 DEAN ST,UVALDE,TX,78801-4373,(830) 591-4954,(830) 591-4959,REINHARDTB@UCISD.NET,www.ucisd.net,MS BECKY REINHARDT   ,'01-04,368,Active,6/25/91,7/24/13 5:35
'232903103,ROBB EL,REGULAR INSTRUCTIONAL,,P O BOX 1909,UVALDE,TX,78802-1909,715 OLD CARRIZO RD,UVALDE,TX,78801-6103,(830) 591-4947,(830) 591-4937,BUTLERJ@UCISD.NET,www.ucisd.net,MR JAMES BUTLER   ,'01-04,417,Active, ,7/24/13 5:35
'232903104,ANTHON EL,REGULAR INSTRUCTIONAL,,P O BOX 1909,UVALDE,TX,78802-1909,224 W BENSON RD,UVALDE,TX,78801-3902,(830) 591-2988,(830) 591-2993,sandovale@ucisd.net,www.ucisd.net,MRS ELIZABETH SANDOVAL   ,'01-04,514,Active, ,7/24/13 5:35
'015901101,CAMBRIDGE EL,REGULAR INSTRUCTIONAL,,1001 TOWNSEND AVE,SAN ANTONIO,TX,78209-5199,1001 TOWNSEND AVE,SAN ANTONIO,TX,78209-5199,(210) 822-3611,(210) 832-5840,lbabb@ahisd.net,www.ahisd.net,MRS LAUREL BABB   ,'01-05,820,Active, ,7/24/13 5:34
'015901104,WOODRIDGE EL,REGULAR INSTRUCTIONAL,,100 WOODRIDGE,SAN ANTONIO,TX,78209-2999,100 WOODRIDGE,SAN ANTONIO,TX,78209-2999,(210) 826-8021,(210) 832-5871,,www.ahisd.net,MRS DEBBIE GARINGER   ,'01-05,969,Active, ,7/24/13 5:34
'028902101,CLEAR FORK EL,REGULAR INSTRUCTIONAL,,1102 CLEAR FORK ST,LOCKHART,TX,78644-2930,1102 CLEAR FORK ST,LOCKHART,TX,78644-2930,(512) 398-0450,(512) 398-0536,deanna.juarez@lockhart.txed.net,,DEANNA JUAREZ   ,'01-05,455,Active, ,7/24/13 5:34
'028902103,NAVARRO EL,REGULAR INSTRUCTIONAL,,715 MEDINA ST,LOCKHART,TX,78644-3221,715 MEDINA ST,LOCKHART,TX,78644-3221,(512) 398-0690,(512) 398-0692,anna.buentello@lockhart.txed.net,,MS ANNA BUENTELLO   ,'01-05,427,Active, ,7/24/13 5:34
'028902104,PLUM CREEK EL,REGULAR INSTRUCTIONAL,,710 FLORES ST,LOCKHART,TX,78644-1848,710 FLORES ST,LOCKHART,TX,78644-1848,(512) 398-0570,(512) 398-0572,margarito.estrada@lockhart.txed.net,,MR MARGARITO ESTRADA   ,'01-05,500,Active, ,7/24/13 5:34
'071902171,ABOUT FACE PROGRAM EL,DAEP INSTRUCTIONAL,,220 LAWTON DR,EL PASO,TX,79902,220 LAWTON DR,EL PASO,TX,79902,(915) 351-3240,(915) 542-0971,vilas@episd.org,vilas.org,MS SANDRA MONTES-URANGA   ,'01-05,12,Active,8/11/06,7/24/13 5:34
'071909111,ESCONTRIAS EL,REGULAR INSTRUCTIONAL,,205 BUFORD RD,EL PASO,TX,79927-1607,205 BUFORD RD,EL PASO,TX,79927-1607,(915) 937-4100,(915) 937-9212,mmacia02@sisd.net,,MARIVEL MACIAS   ,'01-05,590,Active,8/6/87,7/24/13 5:34
'071909118,KEYS EL,DAEP INSTRUCTIONAL,,313 S RIO VISTA RD,EL PASO,TX,79927-6100,313 S RIO VISTA RD,EL PASO,TX,79927-6100,(915) 937-4100,(915) 937-9212,MAGUILAR@sisd.net,,JUDY JOHNSON   ,'01-05,-1,Active,10/25/00,7/24/13 5:34
'086901102,FREDERICKSBURG EL,REGULAR INSTRUCTIONAL,,1608 N ADAMS,FREDERICKSBURG,TX,78624-6792,1608 N ADAMS,FREDERICKSBURG,TX,78624-6792,(830) 997-9595,(830) 997-7209,monicaw@fisd.org,www.FISD.org,MRS MONICA WARD   ,'01-05,936,Active,7/1/93,7/24/13 5:34
'092903117,HUDSON EL,REGULAR INSTRUCTIONAL,,P O BOX 3268,LONGVIEW,TX,75606-3268,1311 LILLY ST,LONGVIEW,TX,75602-3123,(903) 803-5100,(903) 803-5101,slwilson@lisd.org,,SUE WILSON   ,'01-05,569,Active, ,7/24/13 5:34
'101905006,APOLLO,DAEP INSTRUCTIONAL,,1019 DELL DALE,CHANNELVIEW,TX,77530,1019 DELL DALE,CHANNELVIEW,TX,77530,(281) 457-8720,(281) 457-8724,janice.powell@channelview.isd.esc4.net,www.cvisd.org,MRS JANICE POWELL   ,'01-05,0,Active,1/1/00,7/24/13 5:35
'101906106,CROSBY EL,REGULAR INSTRUCTIONAL,,P O BOX 2009,CROSBY,TX,77532,5910 PECAN,CROSBY,TX,77532,(281) 328-9360,(281) 328-9213,crosbyschools@crosbyisd.org,,PAULA PATTERSON   ,'01-05,219,Active,6/20/11,7/24/13 5:35
'101912194,LEWIS EL,REGULAR INSTRUCTIONAL,,8625 GLEN VALLEY,HOUSTON,TX,77061-2339,8625 GLEN VALLEY,HOUSTON,TX,77061-2339,(713) 845-7453,(713) 649-5574,twoods2@houstonisd.org,www.houstonisd.org,MS TONYA WOODS   ,'01-05,958,Active, ,7/24/13 5:35
'101924102,ROYALWOOD EL,REGULAR INSTRUCTIONAL,,7715 ROYALWOOD DR,HOUSTON,TX,77049-2314,7715 ROYALWOOD DR,HOUSTON,TX,77049-2314,(281) 454-2700,(281) 454-2775,KristiAmarantos@sheldonisd.com,www.sheldonisd.com,KRISTI AMARANTOS   ,'01-05,528,Active,7/1/75,7/24/13 5:35
'101924104,L E MONAHAN EL,REGULAR INSTRUCTIONAL,,8901 DEEP VALLEY DR,HOUSTON,TX,77044-1528,8901 DEEP VALLEY DR,HOUSTON,TX,77044-1528,(281) 454-2900,(281) 454-2975,sheilasummers@sheldonisd.com,www.sheldonisd.com,SHEILA SUMMERS   ,'01-05,485,Active,7/1/75,7/24/13 5:35
'101924108,SHELDON EL,REGULAR INSTRUCTIONAL,,17203 HALL SHEPPARD,HOUSTON,TX,77049-2002,17203 HALL SHEPPARD,HOUSTON,TX,77049-2002,(281) 456-6700,(281) 456-6775,kathleenSpell@sheldonisd.com,www.sheldonisd.com,KATHLEEN SPELL   ,'01-05,693,Active,6/1/04,7/24/13 5:35
'101924109,H M CARROLL EL,REGULAR INSTRUCTIONAL,,10210 C E KING PKWY,HOUSTON,TX,77044,10210 C E KING PKWY,HOUSTON,TX,77044,(281) 727-4100,(281) 727-4175,HPHyder@sheldonisd.com,www.sheldonisd.com,HECTOR HERRERA   ,'01-05,703,Active,8/25/08,7/24/13 5:35
'101924111,GARRETT EL,REGULAR INSTRUCTIONAL,,12017 GARRETT RD,HOUSTON,TX,77044,12017 GARRETT RD,HOUSTON,TX,77044,(281) 727-4200,(281) 727-4275,rachelwalker@sheldonisd.com,www.sheldonisd.com,RACHEL WALKER   ,'01-05,457,Active,7/26/11,7/24/13 5:35
'108907102,TAYLOR EL,REGULAR INSTRUCTIONAL,,900 N MISSOURI AVE,MERCEDES,TX,78570-2329,900 N MISSOURI AVE,MERCEDES,TX,78570-2329,(956) 514-2388,(956) 514-2377,lisa.cantu@misdtx.net,www.misdtx.net,MR DAVID AGUIRRE   ,'01-05,564,Active, ,7/24/13 5:35
'108907103,TRAVIS EL,REGULAR INSTRUCTIONAL,,1551 S GEORGIA AVE,MERCEDES,TX,78570-4103,1551 S GEORGIA AVE,MERCEDES,TX,78570-4103,(956) 514-2322,(956) 514-2326,mchacon@misdtx.net,www.misdtx.net,MR MIGUEL CHACON   ,'01-05,658,Active, ,7/24/13 5:35
'108907107,RUBEN HINOJOSA EL,REGULAR INSTRUCTIONAL,,500 S RIO RICO RD,MERCEDES,TX,78570,500 S RIO RICO RD,MERCEDES,TX,78570,(956) 512-2227,(956) 514-2292,michelle.guajardo@misdtx.net,www.misdtx.net,MRS MICHELLE GUAJARDO   ,'01-05,549,Active,5/1/02,7/24/13 5:35
'108907109,NORTH EL,REGULAR INSTRUCTIONAL,,2528 N FM 491,MERCEDES,TX,78570-0419,2528 N FM 491,MERCEDES,TX,78570-0419,(956) 514-2300,(956) 514-5032,elva.rivera@misdtx.net,www.misdtx.net,MRS ELVA RIVERA   ,'01-05,417,Active,8/24/09,7/24/13 5:35
'113901102,CROCKETT EL,REGULAR INSTRUCTIONAL,,1400 W AUSTIN ST,CROCKETT,TX,75835-3145,1400 W LOOP 304,CROCKETT,TX,75835-2189,(936) 544-2125 ext:2235,(936) 544-2088,jmartin@crockettisd.net,,MRS JONHITA MARTIN   ,'01-05,499,Active, ,7/24/13 5:35
'152903103,CATHELENE THOMAS EL,REGULAR INSTRUCTIONAL,,615 W LUBBOCK ST,SLATON,TX,79364-3831,615 W LUBBOCK ST,SLATON,TX,79364-3831,(806) 828-5805,(806) 828-2046,landrus@slatonisd.net,www.slatonisd.net,MRS LORI ANDRUS   ,'01-05,485,Active, ,7/24/13 5:35
'178904139,WINDSOR PARK G/T,REGULAR INSTRUCTIONAL,,4525 S ALAMEDA,CORPUS CHRISTI,TX,78412-2448,4525 S ALAMEDA,CORPUS CHRISTI,TX,78412-2448,(361) 994-3664,(361) 994-3621,kimberly.bissell@ccisd.us,,DR KIMBERLY BISSELL   ,'01-05,692,Active, ,7/24/13 5:35
'212909103,W L KISSAM EL,REGULAR INSTRUCTIONAL,,12800 STATE HWY 64 E,TYLER,TX,75707-8705,12800 STATE HWY 64 E,TYLER,TX,75707-3317,(903) 566-8334,(903) 566-9362,willinghamk@chapelhillisd.org,www.chapelhillisd.org,MS KENDA WILLINGHAM   ,'01-05,762,Active,8/1/94,7/24/13 5:35
'220905114,MANUEL JARA EL,REGULAR INSTRUCTIONAL,,2100 LINCOLN AVE,FORT WORTH,TX,76164-8036,2100 LINCOLN AVE,FORT WORTH,TX,76164-8036,(817) 814-4500,(817) 814-4550,WEB@FWISD.ORG,www.fortworthisd.org,MS MARTA PLATA   ,'01-05,651,Active, ,7/24/13 5:35
'220905120,RUFINO MENDOZA SR EL,REGULAR INSTRUCTIONAL,,1412 DENVER AVE,FORT WORTH,TX,76164-9098,1412 DENVER AVE,FORT WORTH,TX,76164-9098,(817) 814-4700,(817) 814-4750,WEB@FWISD.ORG,www.fortworthisd.org,MS BLANCA GALINDO   ,'01-05,467,Active, ,7/24/13 5:35
'227901160,LINDER EL,REGULAR INSTRUCTIONAL,,2800 METCALFE RD,AUSTIN,TX,78741-5633,2801 METCALFE RD,AUSTIN,TX,78741-5633,(512) 414-2398,(512) 447-3222,Beverly.Odom@AustinISD.org,,MS BEVERLEY JONES ODOM   ,'01-05,592,Active, ,7/24/13 5:35
'237905105,ROYAL EL,REGULAR INSTRUCTIONAL,,P O BOX 819,PATTISON,TX,77466,2222 DURKIN RD,BROOKSHIRE,TX,77423,(281) 934-3166,(281) 934-3358,rbeaty@royal-isd.net,,MS ROBIN BEATY   ,'01-05,783,Active,1/16/02,7/24/13 5:35
'031903121,NEW PATHWAYS CENTER,DAEP INSTRUCTIONAL,,407 N 77 SUNSHINE STRIP,HARLINGEN,TX,78550,208 S F ST,HARLINGEN,TX,78550-7129,(956) 427-3251,(956) 427-3254,cathy.slayton@hcisd.org,www.hcisd.org,MRS CATHY SLAYTON   ,'01-06,0,Active,7/1/95,7/24/13 5:34
'057916145,CAROLYN G BUKHAIR EL,REGULAR INSTRUCTIONAL,,13900 MAHAM RD,DALLAS,TX,75240,13900 MAHAM RD,DALLAS,TX,75240,(469) 593-4900,(469) 593-4901,pio@mailhub.richardson.k12.tx.us,www.richardson.k12.tx.us/administration/sch,SUZANNE M SWIGGETT   ,'01-06,749,Active,9/1/04,7/24/13 5:34
'071904101,L G ALARCON EL,REGULAR INSTRUCTIONAL,,P O BOX 920,SAN ELIZARIO,TX,79849-0920,12501 SOCORRO RD,SAN ELIZARIO,TX,79849-0920,(915) 872-3930,(915) 872-3931,postmaster@seisd.net,www.seisd.net/alarcon/,MRS MARIA MAYELA SANCHEZ   ,'01-06,712,Active, ,7/24/13 5:34
'071904103,JOSEFA L SAMBRANO EL,REGULAR INSTRUCTIONAL,,P O BOX 920,SAN ELIZARIO,TX,79849-0920,200 HERRING RD,SAN ELIZARIO,TX,79849-0920,(915) 872-3950,(915) 872-3951,postmaster@seisd.net,www.seisd.net/sambrano/,MS MARTA ALVAREZ   ,'01-06,487,Active,7/1/94,7/24/13 5:34
'071904104,ALFONSO BORREGO SR EL,REGULAR INSTRUCTIONAL,,P O BOX 920,SAN ELIZARIO,TX,79849-0920,13300 CHICKEN RANCH RD,SAN ELIZARIO,TX,79849,(915) 872-3910,(915) 872-3911,postmaster@seisd.net,www.seisd.net/borrego/,MRS NORMA ANN CASILLAS   ,'01-06,570,Active,2/12/01,7/24/13 5:34
'084904101,HIGHLANDS EL,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568-0007,2401 MAGNOLIA ST,LA MARQUE,TX,77568-5254,(409) 935-6321,(409) 908-5044,smanderson@lmisd.net,,MRS SHONA ANDERSON   ,'01-06,254,Active, ,7/24/13 5:34
'084904102,INTER-CITY EL,REGULAR INSTRUCTIONAL,,P O BOX 7,LA MARQUE,TX,77568-0007,600 WISTERIA DR,LA MARQUE,TX,77568-4460,(409) 935-8043,(409) 908-5048,ecole@lmisd.net,,MS ERIN COLE   ,'01-06,350,Active, ,7/24/13 5:34
